Date,Price
1/4/2010,"Rp408,000.00"
1/5/2010,"Rp410,000.00"
1/6/2010,"Rp410,000.00"
1/7/2010,"Rp412,000.00"
1/8/2010,"Rp410,000.00"
1/11/2010,"Rp413,000.00"
1/12/2010,"Rp410,000.00"
1/13/2010,"Rp409,000.00"
1/14/2010,"Rp410,000.00"
1/15/2010,"Rp408,000.00"
1/18/2010,"Rp406,000.00"
1/19/2010,"Rp410,000.00"
1/20/2010,"Rp410,000.00"
1/21/2010,"Rp408,000.00"
1/22/2010,"Rp404,000.00"
1/25/2010,"Rp404,000.00"
1/26/2010,"Rp404,000.00"
1/27/2010,"Rp404,000.00"
1/28/2010,"Rp403,000.00"
1/29/2010,"Rp403,000.00"
2/1/2010,"Rp403,000.00"
2/2/2010,"Rp405,000.00"
2/3/2010,"Rp406,000.00"
2/4/2010,"Rp404,000.00"
2/5/2010,"Rp401,000.00"
2/8/2010,"Rp400,000.00"
2/9/2010,"Rp401,000.00"
2/10/2010,"Rp402,000.00"
2/11/2010,"Rp401,000.00"
2/12/2010,"Rp403,000.00"
2/15/2010,"Rp402,000.00"
2/16/2010,"Rp403,000.00"
2/17/2010,"Rp406,000.00"
2/18/2010,"Rp401,000.00"
2/19/2010,"Rp401,000.00"
2/22/2010,"Rp408,000.00"
2/23/2010,"Rp402,000.00"
2/24/2010,"Rp401,000.00"
2/25/2010,"Rp400,000.00"
3/1/2010,"Rp404,000.00"
3/2/2010,"Rp401,000.00"
3/3/2010,"Rp405,000.00"
3/4/2010,"Rp406,000.00"
3/5/2010,"Rp403,000.00"
3/8/2010,"Rp404,000.00"
3/9/2010,"Rp400,000.00"
3/10/2010,"Rp399,000.00"
3/11/2010,"Rp398,000.00"
3/12/2010,"Rp398,000.00"
3/15/2010,"Rp397,000.00"
3/17/2010,"Rp400,000.00"
3/18/2010,"Rp398,000.00"
3/22/2010,"Rp396,000.00"
3/23/2010,"Rp395,000.00"
3/24/2010,"Rp395,000.00"
3/25/2010,"Rp394,000.00"
3/26/2010,"Rp395,000.00"
3/29/2010,"Rp396,000.00"
3/30/2010,"Rp396,000.00"
3/31/2010,"Rp395,000.00"
4/1/2010,"Rp397,000.00"
4/5/2010,"Rp399,000.00"
4/6/2010,"Rp399,000.00"
4/6/2010,"Rp399,000.00"
4/7/2010,"Rp399,000.00"
4/8/2010,"Rp401,000.00"
4/9/2010,"Rp403,000.00"
4/12/2010,"Rp408,000.00"
4/13/2010,"Rp403,000.00"
4/14/2010,"Rp401,000.00"
4/15/2010,"Rp401,000.00"
4/16/2010,"Rp401,000.00"
4/19/2010,"Rp397,000.00"
4/20/2010,"Rp398,000.00"
4/21/2010,"Rp398,000.00"
4/22/2010,"Rp399,000.00"
4/23/2010,"Rp399,000.00"
4/26/2010,"Rp402,000.00"
4/27/2010,"Rp401,000.00"
4/28/2010,"Rp404,000.00"
4/29/2010,"Rp404,000.00"
4/30/2010,"Rp406,000.00"
5/3/2010,"Rp407,000.00"
5/4/2010,"Rp408,000.00"
5/5/2010,"Rp405,000.00"
5/6/2010,"Rp411,000.00"
5/7/2010,"Rp420,000.00"
5/7/2010,"Rp422,000.00"
5/7/2010,"Rp422,000.00"
5/10/2010,"Rp423,000.00"
5/10/2010,"Rp417,000.00"
5/11/2010,"Rp417,000.00"
5/12/2010,"Rp424,000.00"
5/14/2010,"Rp426,000.00"
5/17/2010,"Rp429,000.00"
5/18/2010,"Rp426,000.00"
5/19/2010,"Rp425,000.00"
5/20/2010,"Rp417,000.00"
5/21/2010,"Rp415,000.00"
5/24/2010,"Rp420,000.00"
5/25/2010,"Rp424,000.00"
5/26/2010,"Rp427,000.00"
5/27/2010,"Rp429,000.00"
5/31/2010,"Rp428,000.00"
6/1/2010,"Rp425,000.00"
6/2/2010,"Rp427,000.00"
6/3/2010,"Rp428,000.00"
6/3/2010,"Rp425,000.00"
6/4/2010,"Rp421,000.00"
6/7/2010,"Rp427,000.00"
6/8/2010,"Rp434,000.00"
6/9/2010,"Rp433,000.00"
6/10/2010,"Rp430,000.00"
6/11/2010,"Rp427,000.00"
6/14/2010,"Rp428,000.00"
6/15/2010,"Rp424,000.00"
6/16/2010,"Rp428,000.00"
6/17/2010,"Rp427,000.00"
6/18/2010,"Rp431,000.00"
6/21/2010,"Rp434,000.00"
6/22/2010,"Rp423,000.00"
6/23/2010,"Rp427,000.00"
6/24/2010,"Rp424,000.00"
6/25/2010,"Rp425,000.00"
6/28/2010,"Rp430,000.00"
6/29/2010,"Rp424,000.00"
6/30/2010,"Rp426,000.00"
7/1/2010,"Rp427,000.00"
7/2/2010,"Rp417,000.00"
7/2/2010,"Rp417,000.00"
7/5/2010,"Rp418,000.00"
7/6/2010,"Rp417,000.00"
7/7/2010,"Rp416,000.00"
7/8/2010,"Rp418,000.00"
7/9/2010,"Rp415,000.00"
7/12/2010,"Rp418,000.00"
7/13/2010,"Rp415,000.00"
7/14/2010,"Rp418,000.00"
7/15/2010,"Rp417,000.00"
7/16/2010,"Rp417,000.00"
7/19/2010,"Rp414,000.00"
7/20/2010,"Rp412,000.00"
7/21/2010,"Rp413,000.00"
7/22/2010,"Rp412,000.00"
7/23/2010,"Rp414,000.00"
7/26/2010,"Rp413,000.00"
7/27/2010,"Rp411,000.00"
7/28/2010,"Rp409,000.00"
7/29/2010,"Rp410,000.00"
7/30/2010,"Rp410,000.00"
8/2/2010,"Rp410,000.00"
8/3/2010,"Rp410,000.00"
8/4/2010,"Rp411,000.00"
8/5/2010,"Rp412,000.00"
8/6/2010,"Rp412,000.00"
8/9/2010,"Rp413,000.00"
8/10/2010,"Rp412,000.00"
8/11/2010,"Rp413,000.00"
8/12/2010,"Rp414,000.00"
8/13/2010,"Rp418,000.00"
8/16/2010,"Rp418,000.00"
8/18/2010,"Rp420,000.00"
8/19/2010,"Rp421,000.00"
8/20/2010,"Rp421,000.00"
8/23/2010,"Rp420,000.00"
8/24/2010,"Rp418,000.00"
8/25/2010,"Rp420,000.00"
8/26/2010,"Rp422,000.00"
8/27/2010,"Rp423,000.00"
8/30/2010,"Rp422,000.00"
8/31/2010,"Rp422,000.00"
9/1/2010,"Rp426,000.00"
9/2/2010,"Rp425,000.00"
9/3/2010,"Rp426,000.00"
9/6/2010,"Rp425,000.00"
9/7/2010,"Rp424,000.00"
9/8/2010,"Rp427,000.00"
9/14/2010,"Rp426,000.00"
9/15/2010,"Rp431,000.00"
9/16/2010,"Rp430,000.00"
9/17/2010,"Rp434,000.00"
9/20/2010,"Rp433,000.00"
9/21/2010,"Rp433,000.00"
9/22/2010,"Rp436,000.00"
9/23/2010,"Rp437,000.00"
9/24/2010,"Rp436,000.00"
9/27/2010,"Rp438,000.00"
9/28/2010,"Rp437,000.00"
9/29/2010,"Rp442,000.00"
9/30/2010,"Rp442,000.00"
10/1/2010,"Rp441,000.00"
10/4/2010,"Rp443,000.00"
10/5/2010,"Rp442,000.00"
10/6/2010,"Rp452,000.00"
10/7/2010,"Rp450,000.00"
10/7/2010,"Rp453,000.00"
10/8/2010,"Rp448,000.00"
10/11/2010,"Rp452,000.00"
10/12/2010,"Rp453,000.00"
10/13/2010,"Rp453,000.00"
10/14/2010,"Rp460,000.00"
10/15/2010,"Rp460,000.00"
10/18/2010,"Rp455,000.00"
10/19/2010,"Rp459,000.00"
10/20/2010,"Rp448,000.00"
10/21/2010,"Rp451,000.00"
10/22/2010,"Rp445,000.00"
10/25/2010,"Rp447,000.00"
10/26/2010,"Rp449,000.00"
10/27/2010,"Rp449,000.00"
10/28/2010,"Rp445,000.00"
10/29/2010,"Rp450,000.00"
11/1/2010,"Rp455,000.00"
11/2/2010,"Rp452,000.00"
11/4/2010,"Rp451,000.00"
11/5/2010,"Rp462,000.00"
11/8/2010,"Rp464,000.00"
11/9/2010,"Rp466,000.00"
11/10/2010,"Rp464,000.00"
11/11/2010,"Rp465,000.00"
11/12/2010,"Rp465,000.00"
11/15/2010,"Rp458,000.00"
11/16/2010,"Rp455,000.00"
11/18/2010,"Rp452,000.00"
11/19/2010,"Rp456,000.00"
11/22/2010,"Rp455,000.00"
11/23/2010,"Rp455,000.00"
11/24/2010,"Rp459,000.00"
11/25/2010,"Rp462,000.00"
11/26/2010,"Rp460,000.00"
11/29/2010,"Rp457,000.00"
11/30/2010,"Rp462,000.00"
12/1/2010,"Rp467,000.00"
12/1/2010,"Rp469,000.00"
12/1/2010,"Rp469,000.00"
12/2/2010,"Rp468,000.00"
12/3/2010,"Rp468,000.00"
12/6/2010,"Rp474,000.00"
12/8/2010,"Rp471,000.00"
12/9/2010,"Rp466,000.00"
12/10/2010,"Rp467,000.00"
12/13/2010,"Rp466,000.00"
12/14/2010,"Rp470,000.00"
12/15/2010,"Rp470,000.00"
12/16/2010,"Rp465,000.00"
12/17/2010,"Rp464,000.00"
12/20/2010,"Rp467,000.00"
12/21/2010,"Rp468,000.00"
12/22/2010,"Rp468,000.00"
12/23/2010,"Rp468,000.00"
12/27/2010,"Rp466,000.00"
12/28/2010,"Rp468,000.00"
12/29/2010,"Rp473,000.00"
12/30/2010,"Rp474,000.00"
12/31/2010,"Rp471,000.00"
1/3/2011,"Rp474,000.00"
1/4/2011,"Rp473,000.00"
1/5/2011,"Rp464,000.00"
1/6/2011,"Rp463,000.00"
1/7/2011,"Rp461,000.00"
1/10/2011,"Rp462,000.00"
1/11/2011,"Rp466,000.00"
1/12/2011,"Rp469,000.00"
1/13/2011,"Rp469,000.00"
1/14/2011,"Rp466,000.00"
1/17/2011,"Rp464,000.00"
1/18/2011,"Rp464,000.00"
1/19/2011,"Rp467,000.00"
1/20/2011,"Rp466,000.00"
1/21/2011,"Rp462,000.00"
1/24/2011,"Rp462,000.00"
1/25/2011,"Rp460,000.00"
1/26/2011,"Rp460,000.00"
1/27/2011,"Rp461,000.00"
1/28/2011,"Rp458,000.00"
1/31/2011,"Rp460,000.00"
1/31/2011,"Rp460,000.00"
2/1/2011,"Rp460,000.00"
2/2/2011,"Rp461,000.00"
2/4/2011,"Rp462,000.00"
2/7/2011,"Rp462,000.00"
2/8/2011,"Rp461,000.00"
2/9/2011,"Rp463,000.00"
2/10/2011,"Rp462,000.00"
2/11/2011,"Rp462,000.00"
2/14/2011,"Rp462,000.00"
2/16/2011,"Rp464,000.00"
2/17/2011,"Rp464,000.00"
2/18/2011,"Rp465,000.00"
2/18/2011,"Rp465,000.00"
2/21/2011,"Rp470,000.00"
2/22/2011,"Rp472,000.00"
2/23/2011,"Rp470,000.00"
2/24/2011,"Rp473,000.00"
2/25/2011,"Rp470,000.00"
2/28/2011,"Rp472,000.00"
3/1/2011,"Rp469,000.00"
3/2/2011,"Rp475,000.00"
3/3/2011,"Rp476,000.00"
3/4/2011,"Rp471,000.00"
3/7/2011,"Rp475,000.00"
3/8/2011,"Rp475,000.00"
3/9/2011,"Rp474,000.00"
3/10/2011,"Rp472,000.00"
3/10/2011,"Rp472,000.00"
3/11/2011,"Rp467,000.00"
3/14/2011,"Rp472,000.00"
3/15/2011,"Rp471,000.00"
3/16/2011,"Rp462,000.00"
3/16/2011,"Rp463,000.00"
3/17/2011,"Rp462,000.00"
3/18/2011,"Rp468,000.00"
3/21/2011,"Rp471,000.00"
3/22/2011,"Rp471,000.00"
3/23/2011,"Rp469,000.00"
3/24/2011,"Rp472,000.00"
3/25/2011,"Rp472,000.00"
3/28/2011,"Rp468,000.00"
3/29/2011,"Rp467,000.00"
3/30/2011,"Rp467,000.00"
3/31/2011,"Rp469,000.00"
4/1/2011,"Rp471,000.00"
4/4/2011,"Rp470,000.00"
4/5/2011,"Rp471,000.00"
4/6/2011,"Rp476,000.00"
4/7/2011,"Rp476,000.00"
4/8/2011,"Rp476,000.00"
4/11/2011,"Rp480,000.00"
4/12/2011,"Rp476,000.00"
4/13/2011,"Rp476,000.00"
4/14/2011,"Rp476,000.00"
4/15/2011,"Rp480,000.00"
4/18/2011,"Rp483,000.00"
4/19/2011,"Rp485,000.00"
4/20/2011,"Rp486,000.00"
4/21/2011,"Rp487,000.00"
4/25/2011,"Rp488,000.00"
4/25/2011,"Rp488,000.00"
4/26/2011,"Rp485,000.00"
4/27/2011,"Rp488,000.00"
4/28/2011,"Rp493,000.00"
4/29/2011,"Rp495,000.00"
5/2/2011,"Rp497,000.00"
5/3/2011,"Rp492,000.00"
5/4/2011,"Rp490,000.00"
5/5/2011,"Rp485,000.00"
5/6/2011,"Rp475,000.00"
5/9/2011,"Rp480,000.00"
5/10/2011,"Rp483,000.00"
5/11/2011,"Rp485,000.00"
5/12/2011,"Rp482,000.00"
5/13/2011,"Rp481,000.00"
5/16/2011,"Rp478,000.00"
5/18/2011,"Rp478,000.00"
5/19/2011,"Rp480,000.00"
5/20/2011,"Rp480,000.00"
5/23/2011,"Rp485,000.00"
5/24/2011,"Rp485,000.00"
5/25/2011,"Rp488,000.00"
5/26/2011,"Rp489,000.00"
5/27/2011,"Rp488,000.00"
5/30/2011,"Rp491,000.00"
5/30/2011,"Rp491,000.00"
5/31/2011,"Rp491,000.00"
6/1/2011,"Rp489,000.00"
6/6/2011,"Rp491,000.00"
6/7/2011,"Rp490,000.00"
6/8/2011,"Rp489,000.00"
6/9/2011,"Rp488,000.00"
6/10/2011,"Rp490,000.00"
6/13/2011,"Rp486,000.00"
6/14/2011,"Rp484,000.00"
6/15/2011,"Rp486,000.00"
6/16/2011,"Rp487,000.00"
6/17/2011,"Rp489,000.00"
6/20/2011,"Rp493,000.00"
6/21/2011,"Rp492,000.00"
6/22/2011,"Rp494,000.00"
6/23/2011,"Rp495,000.00"
6/24/2011,"Rp488,000.00"
6/27/2011,"Rp483,000.00"
6/28/2011,"Rp484,000.00"
6/30/2011,"Rp486,000.00"
7/1/2011,"Rp483,000.00"
7/4/2011,"Rp479,000.00"
7/5/2011,"Rp480,000.00"
7/6/2011,"Rp484,000.00"
7/7/2011,"Rp487,000.00"
7/8/2011,"Rp488,000.00"
7/11/2011,"Rp491,000.00"
7/12/2011,"Rp494,000.00"
7/13/2011,"Rp498,000.00"
7/14/2011,"Rp505,000.00"
7/15/2011,"Rp504,000.00"
7/18/2011,"Rp505,000.00"
7/19/2011,"Rp509,000.00"
7/20/2011,"Rp505,000.00"
7/21/2011,"Rp508,000.00"
7/22/2011,"Rp505,000.00"
7/25/2011,"Rp511,000.00"
7/26/2011,"Rp511,000.00"
7/27/2011,"Rp512,000.00"
7/28/2011,"Rp509,000.00"
7/29/2011,"Rp510,000.00"
8/1/2011,"Rp510,000.00"
8/2/2011,"Rp510,000.00"
8/3/2011,"Rp518,000.00"
8/4/2011,"Rp522,000.00"
8/5/2011,"Rp516,000.00"
8/5/2011,"Rp520,000.00"
8/8/2011,"Rp530,000.00"
8/8/2011,"Rp534,000.00"
8/9/2011,"Rp540,000.00"
8/9/2011,"Rp548,000.00"
8/9/2011,"Rp555,000.00"
8/10/2011,"Rp553,000.00"
8/11/2011,"Rp563,000.00"
8/12/2011,"Rp550,000.00"
8/15/2011,"Rp544,000.00"
8/15/2011,"Rp547,000.00"
8/16/2011,"Rp554,000.00"
8/18/2011,"Rp558,000.00"
8/18/2011,"Rp560,000.00"
8/19/2011,"Rp570,000.00"
8/19/2011,"Rp575,000.00"
8/22/2011,"Rp585,000.00"
8/23/2011,"Rp594,000.00"
8/24/2011,"Rp576,000.00"
8/25/2011,"Rp552,000.00"
8/26/2011,"Rp556,000.00"
8/30/2011,"Rp575,000.00"
9/5/2011,"Rp590,000.00"
9/5/2011,"Rp590,000.00"
9/7/2011,"Rp590,000.00"
9/8/2011,"Rp577,000.00"
9/9/2011,"Rp590,000.00"
9/12/2011,"Rp588,000.00"
9/13/2011,"Rp578,000.00"
9/13/2011,"Rp584,000.00"
9/14/2011,"Rp588,000.00"
9/14/2011,"Rp594,000.00"
9/15/2011,"Rp594,000.00"
9/16/2011,"Rp580,000.00"
9/19/2011,"Rp596,000.00"
9/20/2011,"Rp590,000.00"
9/21/2011,"Rp605,000.00"
9/22/2011,"Rp595,000.00"
9/23/2011,"Rp585,000.00"
9/26/2011,"Rp575,000.00"
9/27/2011,"Rp575,000.00"
9/28/2011,"Rp575,000.00"
9/29/2011,"Rp575,000.00"
9/30/2011,"Rp575,000.00"
10/3/2011,"Rp570,000.00"
10/4/2011,"Rp575,000.00"
10/5/2011,"Rp572,000.00"
10/6/2011,"Rp574,000.00"
10/7/2011,"Rp575,000.00"
10/10/2011,"Rp575,000.00"
10/11/2011,"Rp580,000.00"
10/12/2011,"Rp576,000.00"
10/13/2011,"Rp580,000.00"
10/14/2011,"Rp575,000.00"
10/17/2011,"Rp575,000.00"
10/18/2011,"Rp571,000.00"
10/19/2011,"Rp570,000.00"
10/20/2011,"Rp568,000.00"
10/21/2011,"Rp565,000.00"
10/24/2011,"Rp570,000.00"
10/25/2011,"Rp560,000.00"
10/26/2011,"Rp570,000.00"
10/27/2011,"Rp575,000.00"
10/28/2011,"Rp580,000.00"
10/31/2011,"Rp573,000.00"
11/1/2011,"Rp565,000.00"
11/2/2011,"Rp567,000.00"
11/3/2011,"Rp572,000.00"
11/4/2011,"Rp578,000.00"
11/7/2011,"Rp575,000.00"
11/8/2011,"Rp584,000.00"
11/9/2011,"Rp583,000.00"
11/10/2011,"Rp576,000.00"
11/11/2011,"Rp573,500.00"
11/11/2011,"Rp579,500.00"
11/14/2011,"Rp588,000.00"
11/15/2011,"Rp580,000.00"
11/16/2011,"Rp582,000.00"
11/17/2011,"Rp580,000.00"
11/18/2011,"Rp572,000.00"
11/21/2011,"Rp572,000.00"
11/22/2011,"Rp565,000.00"
11/23/2011,"Rp570,000.00"
11/24/2011,"Rp570,000.00"
11/25/2011,"Rp573,000.00"
11/28/2011,"Rp573,000.00"
11/29/2011,"Rp580,000.00"
11/30/2011,"Rp585,000.00"
12/1/2011,"Rp587,000.00"
12/2/2011,"Rp578,000.00"
12/5/2011,"Rp584,000.00"
12/6/2011,"Rp572,000.00"
12/7/2011,"Rp573,000.00"
12/8/2011,"Rp576,000.00"
12/9/2011,"Rp570,000.00"
12/12/2011,"Rp569,000.00"
12/13/2011,"Rp566,000.00"
12/14/2011,"Rp562,000.00"
12/15/2011,"Rp559,000.00"
12/16/2011,"Rp650,000.00"
12/16/2011,"Rp560,000.00"
12/19/2011,"Rp564,000.00"
12/20/2011,"Rp565,000.00"
12/21/2011,"Rp569,000.00"
12/22/2011,"Rp568,000.00"
12/23/2011,"Rp567,000.00"
12/27/2011,"Rp563,000.00"
12/28/2011,"Rp563,000.00"
12/29/2011,"Rp557,000.00"
12/30/2011,"Rp555,000.00"
1/2/2012,"Rp555,000.00"
1/3/2012,"Rp559,000.00"
1/4/2012,"Rp565,000.00"
1/5/2012,"Rp566,000.00"
1/6/2012,"Rp567,000.00"
1/9/2012,"Rp565,000.00"
1/10/2012,"Rp566,000.00"
1/11/2012,"Rp570,000.00"
1/12/2012,"Rp571,000.00"
1/13/2012,"Rp572,000.00"
1/16/2012,"Rp565,000.00"
1/17/2012,"Rp566,000.00"
1/18/2012,"Rp567,000.00"
1/19/2012,"Rp564,000.00"
